sub_date,company_name,problem,outcome,ideal_merch,about,referral,kpis,email,attch,sub_id
2023-01-09 12:24:29,Yotpo,Marketing Platform,Integrated solution to save time and increase ROI on your marketing efforts,I am struggling to create a cohesive and impactful on-brand experience across multiple products in order to increase ROI on my marketing efforts and maximize the unique cross-product synergy potential.,"Yotpo, the leading eCommerce marketing platform.

Yotpo’s eCommerce marketing platform helps brands of all sizes to strengthen their relationships with consumers. With unified, data-driven solutions for subscriptions, loyalty, SMS marketing, reviews, and more, Yotpo helps brands like Princess Polly, Rothy’s, Moroccanoil, and Steve Madden deliver winning, cohesive customer experiences that drive eCommerce growth. 
Yotpo integrates with the tools brands use daily, including Google and Meta, and is available on all major eCommerce platforms, including Shopify, Salesforce Commerce Cloud, Adobe Commerce, and BigCommerce.","-> D2C brands
-> Any size - we have different plans for our products. We can help you find the best plan for that brand. 

* The number of orders/month is what we use to define the best plan for the brand","Bubble
-> Doubled the number of reviews collected each month.
-> Grew their SMS subscriber list by 71% in just six months.
-> 73% repeat purchase rate among loyalty redeemers versus 13% for non-redeemers.
-> Their average revenue per redeeming loyalty customer is 171% higher than for non-redeemers.

Steve Madden
-> Collected 57% more reviews with Yotpo
-> 186% uplift in conversion by consolidating their tech stack from 3 to 1 providers with Yotpo

LSKD
-> 310% MoM subscriber growth after migrating to Yotpo SMS
-> Increased SMS subscriber collection by 173% in the past year.
-> SMS review requests account for 39% of all reviews received.
-> Collecting over 1,000 reviews per week, allowing them to cultivate their community's voice across their site, build trust, and influence purchase decisions.
-> An SMS campaign sent to loyalty members, which offered VIPs early access to the brand's newest product, saw an impressive 147x ROI.

Princess Polly
-> 64x ROI using Yotpo SMS marketing 
-> 15x ROI using Yotpo Loyalty 
-> Increased 498% on site conversion with Yotpo reviews",lara.fink@yotpo.com,"https://www.jotform.com/uploads/team_team723/223087581834159/5491050686686006946/PDF CS Bubble compressed.pdf
https://www.jotform.com/uploads/team_team723/223087581834159/5491050686686006946/Reviews_SMS_loyalty_compressed (1).pdf",5.491050686686007e+18
2023-01-10 6:52:01,Triple Whale,Spend attribution,Maximize the efficiency of ad spend while saving time,"As a brand or any agency that manages a brand on Shopify, I am struggling to effectively manage digital ad spend on my Shopify store to drive revenue.","Transform Your Data Into Growth. Triple Whale is the eComOS. Manage analytics, attribution, creative & finance for your Shopify store in one place.",Shopify brands or agencies managing Shopify brands.,"MODIFLY (Agency Case Study): 1. 20% improvement in client performance within 90 days of implementation
2. 24 hours saved per employee per month
3. $1,400 saved per client per month thanks to efficiencies gained in data aggregation, analysis, and client management

DOE LASHES:
1. Increase Tik Tok spend from $100/day to $3,000/day while maintaining a 3x ROAS
2. $7,200 per year in time saved

OBVI: 
1. Increase their revenue by 67%
2. Increase the monthly marketing budget from $300k to $650k
3. Decrease the cost per acquisition from $90 down to $50 on Facebook",grant@triplewhale.com,"https://www.jotform.com/uploads/team_team723/223087581834159/5491715202424678142/Doe Lashes - LF Case Study.pdf
https://www.jotform.com/uploads/team_team723/223087581834159/5491715202424678142/Modifly Case Study.pdf
https://www.jotform.com/uploads/team_team723/223087581834159/5491715202424678142/Obvi Case Study - Long Form.pdf",5.491715202424678e+18
2023-01-10 10:00:01,Emotive,"Conversions
LTV","Increase customer retention, engagement, and overall Life Time Value","As an eCommerce website owner with decent traffic (over 10k monthly sessions) or over 1000 phone numbers to import, I am struggling to increase conversions and add another revenue stream.","Emotive's conversational approach to SMS is more personal, more engaging, and less expensive. We offer a 30 day free trial and a 90 day 5x ROI Guarantee which is unheard of in the market place! Talk to your customers (not at them) with automated two-way conversations and create customer interactions that turn into sales! Build your brand voice, recover abandoned carts, respond to inquiries via SMS, and launch products with Emotive’s conversational text message marketing software",Must be eCommerce with decent traffic. Brand should average 10k+ monthly sessions or have over 1000 phone numbers to import.,"Satechi achieved a 17% conversion rate for SMS sign-ups and 18% abandoned cart conversion rate, resulting in increased revenue.
Dugout Mugs generated $330K+ in sales in the first 6 months and achieved 29x ROI using Emotiv's platform.
Eat Well Nashville has gained 10,000+ opt-ins and 12% conversion rate using Emotiv's conversational ads feature, also generated $500K+ in sales in the first 6 months and achieved 69x ROI.",michael@emotive.io,https://www.jotform.com/uploads/team_team723/223087581834159/5491828001283137961/Why Emotive.pdf,5.491828001283138e+18
2023-01-10 11:30:45,Social Snowball,Word-of-mouth marketing,Grow revenue through organic channels,I have over $500K in annual GMV. I've run paid ads and am not satisfied with how things are changing. I'm seeking ways to improve marketing.,"Social Snowball is the word-of-mouth marketing platform for ecommerce. We power affiliate and influencer marketing programs for 1,000+ brands.","ARR 500K+ 
Any vertical 
Typically has social influencer or a community of customers
Has word of mouth and is looking to fuel and capture","Outway Socks drove over 9% of GMV at a 5X ROI with affiliate marketing among customers
Tabs Chocolate increased influencer marketing revenue by 17% with Social Snowball
Tailored Athlete increased referral revenue by over 440% after switching from another platform",katie@socialsnowball.io,https://www.jotform.com/uploads/team_team723/223087581834159/5491882445444110860/One Pager.pdf,5.491882445444111e+18
2023-01-11 9:56:29,Katana Manufacturing ERP,Inventory Management,Manage your raw materials while integrating with e-commerce/accounting solutions,"As a business that manufactures products and sells through multiple sales channels while using a financial software to manage the business, I am struggling to develop efficiencies in my workflows.","Katana is a manufacturing ERP that gives you a live look at your business, including live inventory and manufacturing management, batch tracking for end-to-end traceability, a Shop Floor App for total floor-level control, open API, and a growing channel partner network. Real-time master planning features automate resource allocation based on prioritized sales orders and integrations with e-commerce, accounting, shipping, CRM, and reporting services to centralize your operations in one visual platform.","Size: under 100 employees and under 50 million in annual revenue
Focus: Manufacturing or raw material management with production processes
Sales Channels: Shopify, WooCommerce, Big Commerce, Amazon, Etsy, Ebay
Accounting solutions: QuickBooks Online, Xero","Tug-E-Nuff - reduced delivery times by 420%
GJ Motorsports - saves 4 hours a week of admin work
Naturewall - doubled sales and boosted efficiency
Kodama - improved inventory management by 80%

Check out https://katanamrp.com/case-studies/ for more examples",justin.bloye@katanamrp.com,https://www.jotform.com/uploads/team_team723/223087581834159/5492689892341115619/Partnerships Client Referral.docx,5.492689892341116e+18
,Churn Buster,Subscription churn, Prevent and recover from intentional cancellations of subscriptions,"I have over 3M/ARR in subscriptions. I'm trying to keep subscribers from canceling, but I lack visibility into why customers are canceling and why payments are failing.","Emotive's conversational approach to SMS is more personal, more engaging, and less expensive. We offer a 30 day free trial and a 90 day 5x ROI Guarantee which is unheard of in the market place! Talk to your customers (not at them) with automated two-way conversations and create customer interactions that turn into sales! Build your brand voice, recover abandoned carts, respond to inquiries via SMS, and launch products with Emotive’s conversational text message marketing software","Focused On Subscription Retention/Churn
Have Pain Around Either/Or/Both Failed Payment Recovery (Dunning) And Cancellation Flows
Lack Of Visibility Into Both Of These Areas And A Broader Lens Of Retention Metrics
Have At Least $3M/ARR Subscription Volume
Have A Loose Understanding Of What We Do And Need The Demo To Dive Deeper To See If We're A Fit For Them","Churn Buster's Churn Rate Is 1.58%
Longest Client Relationship 8+ Years
Largest ECommerce Clients Exceed $500M+ ARR",matt@churnbuster.io,,
,Rebuy,Onsite personalization ,Increase AOV and margins with personalized shopping experiences and AI-powered product recommendations.,"I am struggling to personalize my eCommerce experience on Shopify, leading to lower avg order value, conversion rate and customer loyalty","Rebuy is a personalization platform for e-commerce stores that helps brands create personalized shopping experiences for their customers. The platform uses artificial intelligence (AI) to provide product recommendations, automate retention strategies, and generate shareable marketing links that drive customers to pre-populated carts and checkouts with auto-applied discounts. Rebuy also includes a script editor for Shopify Plus merchants to create dynamic checkout upsells that increase average order value (AOV) and margins. In addition, the platform provides reporting and analytics to track top-performing widgets and make adjustments as needed. Rebuy is designed to be a no-code, low-code solution that can be easily customized to fit the needs of each store. It can be used to upsell and cross-sell products, optimize shopping carts, and offer post-purchase recommendations.",E-commerce stores on the Shopify and Shopify Plus platforms.,"Native Pet fetched a 15% increase in average order value (AOV) using intelligent in-cart cross-sells powered by AI.
Revant Optics saw an 8.5% increase in units sold by partnering with Rebuy and supercharging its product tagging system.
Fanjoy boosted AOV by 18.65% and introduced digital creators to new fans through creative merchandising and consistent sales campaigns.",eric.alder@rebuyengine.com,,
,Postscript,SMS marketing,Increase revenue and build strong customer relationships with SMS,"I need help building strong customer relationships and increasing sales through SMS marketing, but don't have the tools or expertise to do it effectively.","Postscript is a company that offers SMS marketing tools for e-commerce businesses. They provide tools to help businesses build and grow their subscriber list, automate text marketing campaigns, create targeted campaigns, and have personalized conversations with customers. They also offer integrations with other platforms such as Shopify, Google Analytics, and Recharge, and have received positive reviews from their users. Postscript aims to help businesses build strong customer relationships and increase revenue through SMS marketing.",E-commerce stores on the Shopify and Shopify Plus platforms.,"Blume, a company, used conversational commerce to build a list of over 10,000 subscribers.
Personal care brand Curie achieved a 46% SMS conversion rate using Postscript.
Avara, a women's clothing brand, went from no SMS experience to earning over $100,000 in revenue in 30 days.",harrison@postscript.io,,
,Recharge,Subscription management,"Turn one-time buyers into loyal, repeat customers by providing subscription services and easy account management",I need a subscription solution that tracks key data and provides detailed analytics to inform my business decisions. It should allow for customization and data filtering.,"Recharge is a company that helps businesses turn one-time buyers into loyal, repeat customers by providing subscription services and making it easy for customers to manage their accounts, try new products, and make purchases. Recharge offers subscription services for a variety of products, including coffee, juice, wine, baby food, cat food, hand soap, shampoo, vitamins, and hot sauce. Customers can sign up for subscriptions, choose between one-time purchases or subscriptions, change the size of their bundle, swap flavors, pause or cancel their subscriptions, skip or delay shipments, and set their subscription cadence.",E-commerce stores on the Shopify and Shopify Plus platforms.," Hubble increased customer acquisition by 17,000 in the first three months of using Recharge and saw their run rate increase by $1 million per month by implementing a one-page checkout flow and automated customer emails.
Who Gives A Crap increased subscriptions by 250% and achieved a 75% open rate for notifications by utilizing Recharge's integration with Klaviyo to send personalized SMS and email messages.
Huggle increased customer retention by 25% by using Recharge's customer segmentation feature to send personalized SMS and email messages to targeted customer segments.",abbie.yermus@rechargeapps.com,,
2023-01-12 14:23:10,Attentive,SMS Marketing,"Grow, retain, and engage your list of subscribers","I am a retail ecommerce client with 25,000+ monthly website sessions and I am looking to drive sales through SMS marketing.","Attentive is the leader in conversational commerce, reinventing business-to-consumer communication. Our SMS-first software platform helps everyone from entrepreneurs to enterprises strengthen relationships with their consumers in a new way. Through two-way, real-time, personalized communications, we drive billions in e-commerce revenue, and over 8,000 leading brands like CB2, Pura Vida, Urban Outfitters, Jack in the Box, and Coach rely on Attentive to deliver powerful commerce experiences.","- Retail/Ecomm client
- 25,000 website sessions per month
- Any ecommerce platform is supported",Attentive drives 18.5% of total online revenue for leading brands,mmahil@attentivemobile.com,https://www.jotform.com/uploads/team_team723/223087581834159/5493713894518542645/Retail & E-Commerce One Pager.pdf,5.493713894518542e+18
